Participant,Epoch,Class,Cluster,PCA_1,PCA_2
c01,0,Class 1,1,-4.083481654260774,-2.143940537885598
c01,1,Class 1,1,0.352204971093049,-2.19797930949581
c01,2,Class 1,1,-2.003647269752309,4.931283645578701
c01,3,Class 1,1,-1.7626775194687387,3.1947814746924337
c01,4,Class 1,1,-2.6721542913724803,3.868560235564568
c01,5,Class 1,1,-4.103028470090178,-1.004520653638351
c01,6,Class 1,1,-4.73829813607431,7.501372543819442
c01,7,Class 0,1,1.293853925017345,-1.5892506039523544
c01,8,Class 1,1,-6.051381553288085,5.16100922371671
c01,9,Class 0,1,4.134360281998614,-4.266752295491507
c01,10,Class 0,1,-3.668175154606132,3.651427731756817
c01,11,Class 1,1,2.6236888922281287,-7.277833848287625
c01,12,Class 0,1,-0.9672484943953612,-7.351659576587261
c01,13,Class 0,1,-0.9754378057759115,-1.0603794935536417
c01,14,Class 0,1,-0.6740179981841542,-0.921177198140978
c01,15,Class 1,1,4.684989105666205,-3.90312601034533
c01,16,Class 1,1,5.159705600903643,-3.880170516983166
c01,17,Class 1,1,-4.745468118200133,6.852933746767081
c01,18,Class 1,1,-5.728683100560069,2.619454770494752
c01,19,Class 1,1,3.014040459399665,-8.160584435434137
c01,20,Class 0,1,-0.9957097309401068,2.8057986370946644
c01,21,Class 1,1,-3.584294740896389,6.4089165373559
c01,22,Class 1,1,-4.170031621156741,-1.4788458322120566
c01,23,Class 1,1,4.361647616525482,-4.159854288464236
c01,24,Class 1,1,3.951477198546158,-7.506998290077243
c01,25,Class 1,1,1.4092273435846607,-0.6799899260076763
c01,26,Class 0,1,1.5713106439964073,3.3702012910663126
c01,27,Class 0,1,0.7459882181722215,-5.428227759171167
c01,28,Class 0,1,0.455129786244233,-0.2746784410712525
c01,29,Class 1,1,-2.118503405992985,-1.2044265126053664
c01,30,Class 1,1,-3.166956820120165,4.46438297547207
c01,31,Class 1,0,27.64903162732837,11.249643521459994
c01,32,Class 0,1,4.6918116272864845,8.905929903465264
c01,33,Class 0,1,0.5513303290213504,-2.183876770937402
c01,34,Class 0,1,2.0346813692561416,2.3824845881050374
c01,35,Class 1,1,-3.5772802916211064,-0.1709656328342405
c01,36,Class 1,1,4.196394623050134,3.2248570438332207
c01,37,Class 1,1,1.7240200278867983,-2.7896166340942936
c01,38,Class 1,1,2.1390005151780107,-0.5873342012070707
c01,39,Class 0,1,-2.317216303969708,-2.2178140938579074
c01,40,Class 0,1,0.0854004845786367,-3.5126661353761515
c01,41,Class 0,1,-2.7588989831166355,-1.9208326124581456
c01,42,Class 1,1,3.843293237573439,0.3794605027348813
c01,43,Class 1,1,-6.546547329466148,3.9310182477264712
c01,44,Class 0,1,-2.304776098203463,-1.5603771809982412
c01,45,Class 0,1,-2.2354035696837578,0.4852249698603221
c01,46,Class 0,1,-3.0890752271746087,3.795916629352071
c01,47,Class 1,1,-0.3997991795162929,6.270685844798926
c01,48,Class 1,1,6.561862334363266,1.5514170917502257
c01,49,Class 1,1,2.399335632819706,0.4984772246962645
c01,50,Class 0,1,-1.536531711215805,1.0133187730817914
c01,51,Class 0,1,3.332728334975062,-2.527459717396237
c01,52,Class 0,1,2.1801323856665857,0.4830042553826826
c01,53,Class 1,1,6.981056736848012,-0.8410357075171633
c01,54,Class 1,1,-3.325741698548521,3.015243827747241
c01,55,Class 0,1,-2.677485778502294,-0.4646643224228127
c01,56,Class 0,1,-1.7656131146471818,6.160989936121959
c01,57,Class 0,1,-0.6623373938773824,4.289831108090715
c01,58,Class 1,1,-4.4383764034064415,2.0281089763949134
c01,59,Class 0,1,-0.1943565650456566,-2.501524271258673
c01,60,Class 1,1,1.2464792406945329,-2.581075260405829
c01,61,Class 1,1,-2.000203797779655,1.9832252430905424
c01,62,Class 0,1,-2.493466605481573,3.3418489404834104
c01,63,Class 0,1,4.9835081109841655,-3.587135313539485
c01,64,Class 0,1,-0.560095909106641,0.2232250414995985
c01,65,Class 1,1,0.4147168863322,0.1072402680288425
c01,66,Class 1,1,-2.11653102854099,1.6791607269557691
c01,67,Class 0,1,-1.5351227923798316,-0.1854141253328904
c01,68,Class 0,1,-1.6600007732864763,-1.761687676314332
c01,69,Class 0,1,4.215404357143336,-3.519252908683278
c01,70,Class 1,1,4.141834724910515,-2.954703945160928
c01,71,Class 0,1,-1.1857859220900435,-2.5049727802905872
c01,72,Class 0,1,-3.3664896263700563,-4.681082918548391
c01,73,Class 0,1,-2.273004744536703,-4.747279306361514
c01,74,Class 1,1,3.719201195170206,2.902266837678801
c01,75,Class 1,1,-3.177422669494205,0.5919919527769404
c01,76,Class 0,1,-2.1413657088549507,-2.0892391595240025
c01,77,Class 0,1,1.1638636017184352,2.305605099976591
c01,78,Class 0,1,-1.4988925030344256,-0.8193046974429893
c01,79,Class 1,1,-2.331673085933786,-4.530452017409915
c01,80,Class 0,1,-1.671844259336454,-3.5158505719526207
c01,81,Class 0,1,-1.4990878378241912,-4.38798462442237
c01,82,Class 0,1,1.5369113710188071,0.0036987466802953
c02,0,Class 1,0,-8.088159579946629,-5.788987788767266
c02,1,Class 1,0,-1.3537074768459223,0.1697194550663904
c02,2,Class 1,0,-3.701019037881733,0.7414900377435936
c02,3,Class 1,0,-3.2851598236946127,-1.472403712862707
c02,4,Class 1,0,-5.107065935294819,-0.1361435319158347
c02,5,Class 1,0,2.344357599043605,0.9446847444431566
c02,6,Class 1,0,-8.872779211951938,-5.713551663088904
c02,7,Class 1,0,0.1709806261685777,1.469729702823128
c02,8,Class 1,0,-1.1462446651220553,5.6672566983420944
c02,9,Class 0,0,-5.6009564310383615,2.1351995039918017
c02,10,Class 0,0,-4.091602564357058,-0.8911861895507683
c02,11,Class 0,0,-5.204254301396868,-3.560138184165791
c02,12,Class 1,0,8.333541899202778,4.965442233295082
c02,13,Class 1,0,-5.565507312919717,-1.7984624468374213
c02,14,Class 1,0,2.3006338573561886,3.0965252525381404
c02,15,Class 0,0,-4.007115619941974,-1.798542624597964
c02,16,Class 0,0,-5.6478005786331895,-3.053588514481405
c02,17,Class 0,0,3.5946892436449924,4.666271450308694
c02,18,Class 1,0,-1.5918575412255946,-13.550721627171123
c02,19,Class 1,0,-1.433721629367788,-1.962999257165872
c02,20,Class 1,0,-4.435655072189168,-5.503736058430246
c02,21,Class 0,0,-1.859380122467189,2.0902924007991954
c02,22,Class 0,0,-1.2547134837327638,3.141976998300198
c02,23,Class 0,0,9.598644677715916,-1.085492790939859
c02,24,Class 1,0,-1.3725381096146094,2.675956707938337
c02,25,Class 1,0,5.480351838651724,-6.147578338699407
c02,26,Class 0,0,-0.934821246271704,3.248437667023693
c02,27,Class 0,0,3.3016716075938537,1.3208080160949394
c02,28,Class 0,0,-4.040348241791113,1.5614335451377888
c02,29,Class 1,0,-3.7035402678013103,-4.2220805349724575
c02,30,Class 1,0,5.391890256860642,4.050818431306194
c02,31,Class 1,0,3.2369649659857926,1.9340102702089823
c02,32,Class 1,0,0.7894104541483636,-6.994168326082939
c02,33,Class 0,0,-2.1413831528923564,-0.7411844690107996
c02,34,Class 0,0,-2.1858291011071582,-2.367241255012236
c02,35,Class 0,0,-1.9047896268651696,-2.912943223360388
c02,36,Class 1,0,6.062132038726712,8.68641539860766
c02,37,Class 0,0,-3.996724298817634,1.0432559759591782
c02,38,Class 0,0,1.0990710002726538,8.522192812119334
c02,39,Class 0,0,2.1886083886102043,4.5719366246178
c02,40,Class 1,0,-3.662904761086888,-1.7910633948099506
c02,41,Class 0,0,2.8594981518113367,5.449700125861734
c02,42,Class 0,0,-2.7384506834529536,5.84627983448158
c02,43,Class 0,0,-2.743170551823467,4.958512674786024
c02,44,Class 1,0,-0.086766319378451,3.9106629135185855
c02,45,Class 0,0,-7.056413999947051,-0.9658575928888682
c02,46,Class 0,1,24.39312291159436,-5.29632661649364
c02,47,Class 0,0,2.241293641119398,1.8000163054579177
c02,48,Class 1,0,-1.0364321785067774,-4.640137316340968
c02,49,Class 1,1,24.241946612775397,-10.70813850649892
c02,50,Class 1,0,0.0291166214326366,-1.0920292173427777
c02,51,Class 0,0,-5.3999558877460645,-2.2131877735055867
c02,52,Class 0,0,3.953600871105286,-7.184750716423417
c02,53,Class 0,0,0.8745612112890971,4.717024924979498
c02,54,Class 1,0,-1.04830928479958,6.533941188691667
c02,55,Class 1,0,-7.146297384533143,-7.8932291752327535
c02,56,Class 1,0,6.4105925179187455,4.407722362825157
c02,57,Class 1,0,7.921765850010592,6.277406083012639
c02,58,Class 1,0,-8.941414502635528,-3.028814364251672
c02,59,Class 0,0,-1.4085062520400529,3.796519013476937
c02,60,Class 0,0,2.7987460807284976,3.24797064234808
c02,61,Class 0,0,7.037531115948736,5.973419494941211
c02,62,Class 1,0,-4.3686343563638905,-6.246536329399963
c02,63,Class 1,0,-1.7095501525281018,4.37411745079102
c02,64,Class 0,0,-4.36080271540871,1.4311049342327695
c02,65,Class 0,0,11.826019265608023,-15.211135891048777
c02,66,Class 0,0,-0.1608358263574357,0.0116707336926172
c02,67,Class 1,0,-2.184120981658162,-2.5573749627787623
c02,68,Class 0,0,3.8112866887304615,6.247717401404253
c02,69,Class 0,0,-0.0185139618389659,5.884454433175406
c02,70,Class 0,0,-5.69427576078091,-3.042362050213036
c03,0,Class 1,1,0.666695751042411,1.739194583863512
c03,1,Class 1,1,1.7018640794111992,-0.6701226806504501
c03,2,Class 1,1,4.1498760036949545,-5.343995315126991
c03,3,Class 1,1,8.723439176439042,-0.8448573553681472
c03,4,Class 0,0,4.19009118901635,5.410002651772749
c03,5,Class 0,2,-2.6858861364209163,1.5237467000914475
c03,6,Class 1,0,15.300923697560682,10.36594848380177
c03,7,Class 0,0,2.947709592428945,4.380491258111129
c03,8,Class 0,1,4.069117909802703,-2.559050470805786
c03,9,Class 0,1,7.815133005566862,1.3394565806908774
c03,10,Class 1,0,-0.8110344069833293,7.653802591742161
c03,11,Class 1,1,8.916540031109317,1.2158451342144412
c03,12,Class 1,1,-0.974609502421622,-3.859580344362532
c03,13,Class 1,1,0.1934646367331512,3.868430274004097
c03,14,Class 1,1,2.208249393874972,-1.430172992907901
c03,15,Class 0,0,4.190702948458255,0.8078550837439539
c03,16,Class 0,1,3.8864644320261386,-5.808606218855357
c03,17,Class 0,0,7.700196923375285,11.63730685107703
c03,18,Class 1,1,2.7821210216577845,1.871972391472709
c03,19,Class 1,1,12.993262298567798,-2.3999971133688023
c03,20,Class 0,1,1.4470466041435874,-0.6533031149037924
c03,21,Class 1,2,-5.125013196560183,2.0696362018950483
c03,22,Class 1,1,9.204856392319726,1.5499040861772222
c03,23,Class 0,2,-9.66596149055568,-3.830344120836021
c03,24,Class 0,1,4.935185300325825,-4.25349727200457
c03,25,Class 1,2,-2.475005847736079,0.7022385851378131
c03,26,Class 0,1,0.8720495708836693,-1.8908466724317023
c03,27,Class 0,2,-9.082103751076474,7.339216525840204
c03,28,Class 0,1,5.82006787661128,-0.5762795410122484
c03,29,Class 1,1,4.539362094372289,-1.3665138494562694
c03,30,Class 1,2,-10.431002681373306,-3.488230472073087
c03,31,Class 0,1,-1.9753955211317984,-2.711664516810647
c03,32,Class 0,1,1.3183934809395026,5.320517152999567
c03,33,Class 0,2,-5.096841639171822,-2.496971791294639
c03,34,Class 1,1,1.6823342787309268,5.138111114287437
c03,35,Class 0,1,-0.161041855288544,-2.7275849593614
c03,36,Class 0,2,-5.773253122787964,4.518590689093403
c03,37,Class 0,1,-3.6685075613828473,-4.898079769829443
c03,38,Class 1,2,-4.496245788050608,0.0482532892488525
c03,39,Class 0,1,7.639898581847926,-3.2806108054514325
c03,40,Class 0,1,4.708543206792378,-6.260785508214633
c03,41,Class 0,1,-2.576060568086159,-1.998337165444726
c03,42,Class 1,1,2.4890240760663027,-3.27031732862776
c03,43,Class 0,0,1.5803924692985063,5.091453098167365
c03,44,Class 0,2,-4.351332121886966,3.3542258570685526
c03,45,Class 0,0,-1.197113700236793,7.64548746098117
c03,46,Class 1,2,-7.50452081284012,-1.4700105312951952
c03,47,Class 0,1,1.564345809728761,-6.096264141907603
c03,48,Class 0,1,3.174814770347374,-5.560933192219482
c03,49,Class 0,2,-6.531275633166237,9.826641773040318
c03,50,Class 1,1,1.059515531559424,2.301343045892734
c03,51,Class 1,1,2.222536244891538,-3.5602576440259788
c03,52,Class 1,1,-2.0035099063316024,3.266378274978797
c03,53,Class 0,1,0.5205241021424477,-2.864984439163209
c03,54,Class 0,2,-4.580265920244272,-2.734677788541355
c03,55,Class 0,2,-5.0972249529887605,-4.743070949485289
c03,56,Class 1,2,-6.207989242791116,-4.432882337161331
c03,57,Class 1,2,-7.7722782697363,0.0529791106672436
c03,58,Class 0,1,1.5272948402417108,0.9416010398927788
c03,59,Class 0,1,4.074999977056158,-4.418828943626019
c03,60,Class 0,2,-1.4010773372871648,4.988272912835359
c03,61,Class 1,1,0.3784541291225833,-2.779454090389068
c03,62,Class 1,2,-9.306072525664908,1.2966825726071864
c03,63,Class 1,2,-7.970906090874693,4.238505572768983
c03,64,Class 1,1,0.4204766968988095,-6.615145714568829
c03,65,Class 1,1,-1.7287275440777556,-6.345285939868893
c03,66,Class 0,1,-2.2656766657289165,-1.6026550761962592
