Participant,K2_Silhouette,K3_Silhouette,K4_Silhouette,K5_Silhouette,Best_K,Best_Silhouette
c01,0.37088317080922356,0.030419503869173872,0.024832887008035678,0.013410360769064579,2,0.37088317080922356
c02,0.39542155254282335,0.06501188179174429,0.05664825737807687,0.046872065556018215,2,0.39542155254282335
c03,0.056214360415122594,0.06314877010360045,0.048244789062848355,0.056958741151368564,3,0.06314877010360045
c04,0.06473857130203006,0.06969288549907024,0.027583993098017765,0.019992240226997388,3,0.06969288549907024
c05,0.04245594433392058,0.032440758249290394,0.016985909996014372,0.026723998227306443,2,0.04245594433392058
c06,0.05048683946729338,0.04895307110741362,0.0318802047387107,0.035193723305647164,2,0.05048683946729338
c07,0.17692171726398326,0.05019414597068669,0.018565038010149377,0.034787978530789986,2,0.17692171726398326
c08,0.03032444943118741,0.028389832216748588,0.022742043502448708,0.029693065045730146,2,0.03032444943118741
c09,0.033270947102152316,0.027636550176144893,0.012847205804543089,0.02029892012204503,2,0.033270947102152316
c10,0.055802509515828706,0.04921366500416624,0.04041104698182471,0.017423670535660872,2,0.055802509515828706
c11,0.09843236174572313,0.133186936735643,0.1041119413256322,0.02812465053350895,3,0.133186936735643
