Participant,LDA_AUC,SVM_AUC,RandomForest_AUC,XGBoost_AUC,Logistic_AUC,Dummy_AUC
c01,0.673054587688734,0.6887340301974448,0.5450058072009292,0.59465737514518,0.6660859465737514,0.47067363530778167
c02,0.5436507936507936,0.5476190476190476,0.4281746031746032,0.3865079365079365,0.5373015873015873,0.5059523809523809
c03,0.516629711751663,0.5158906134515892,0.48817442719881743,0.5181079083518108,0.5188470066518847,0.5473022912047303
c04,0.5611111111111111,0.5702020202020203,0.5719696969696969,0.4919191919191919,0.5671717171717172,0.48383838383838385
c05,0.5088383838383839,0.5176767676767676,0.4930555555555556,0.5138888888888888,0.5037878787878787,0.6376262626262625
c06,0.5059121621621622,0.518581081081081,0.4619932432432432,0.4856418918918919,0.4923986486486487,0.5295608108108107
c07,0.6044142614601018,0.6129032258064515,0.4524617996604415,0.564516129032258,0.6086587436332768,0.4405772495755519
c08,0.4484375,0.45729166666666665,0.4953125,0.47968750000000004,0.45000000000000007,0.4375
c09,0.6180555555555556,0.6557539682539683,0.44791666666666663,0.3819444444444445,0.6160714285714286,0.6011904761904763
c10,0.5679012345679012,0.5751028806584362,0.45987654320987653,0.4866255144032922,0.5720164609053497,0.44907407407407407
c11,0.48070987654320985,0.474537037037037,0.4440586419753086,0.5146604938271605,0.47762345679012347,0.5
Average,0.5480650162117833,0.5576629398773191,0.48072722589592176,0.4925597522192778,0.546360261366877,0.5093905058709502
