Participant,Before_FineTune_AUC,After_FineTune_AUC,Improvement
c01,0.5288461538461539,0.7115384615384615,0.1826923076923076
c02,0.474025974025974,0.538961038961039,0.06493506493506496
c03,0.593939393939394,0.47575757575757577,-0.11818181818181822
c04,0.4245689655172414,0.4051724137931035,-0.0193965517241379
c05,0.5555555555555556,0.6565656565656566,0.101010101010101
c06,0.5189393939393939,0.4962121212121212,-0.022727272727272707
c07,0.520979020979021,0.4195804195804196,-0.10139860139860146
c08,0.49684210526315786,0.5284210526315789,0.03157894736842104
c09,0.45,0.6958333333333333,0.2458333333333333
c10,0.5254901960784313,0.4156862745098039,-0.1098039215686274
c11,0.5077399380804953,0.281733746130031,-0.22600619195046434
