PARTICIPANT,FEATURE,MEAN_ABSOLUTE_SHAP,MEAN_SHAP
c01,F4_kurtosis,0.41078526,-0.016003035
c01,PSD_F3_3.3Hz,0.3873136,0.014206891
c01,PSD_F3_20.0Hz,0.33424726,0.0060114376
c01,PSD_F6_40.0Hz,0.3326111,-0.006444348
c01,F3_spect_entropy,0.31861845,0.02057037
c01,F6_kurtosis,0.2723603,0.0030034902
c01,PSD_F4_23.3Hz,0.25982854,0.0047024502
c01,FCz_spect_entropy,0.24840096,0.0031727718
c01,F2_hjorth_complexity,0.22944905,0.0019968795
c01,F4_skewness,0.22222675,-0.004250412
c01,PSD_F2_37.8Hz,0.19328792,-0.006339214
c01,PSD_FCz_6.7Hz,0.18465076,-0.029282272
c01,PSD_F6_8.9Hz,0.13765208,-0.0027490002
c01,PSD_F6_13.3Hz,0.13258733,0.0027985869
c01,PSD_F4_24.4Hz,0.1165656,-0.011921614
c01,PSD_FCz_12.2Hz,0.11024935,-0.0003661911
c01,PSD_F3_33.3Hz,0.10496296,0.0008633584
c01,PSD_F4_25.5Hz,0.104627125,0.0017587788
c01,PSD_F2_28.9Hz,0.10311188,0.008406625
c01,PSD_F4_27.8Hz,0.09527408,0.0057598474
c01,PSD_F4_28.9Hz,0.09086966,-0.0016976456
c01,PSD_F4_36.7Hz,0.08552164,0.0021702575
c01,PSD_F3_21.1Hz,0.082330875,0.0042010336
c01,F3_kurtosis,0.082279146,-0.0053650984
c01,PSD_FCz_34.4Hz,0.08029728,-0.0013017347
c01,PSD_F4_37.8Hz,0.0764204,-0.0041870284
c01,FCz_skewness,0.07613177,-0.0018421684
c01,PSD_F3_6.7Hz,0.070985064,-0.0020867474
c01,PSD_F2_26.7Hz,0.0657361,-0.010336184
c01,PSD_F2_27.8Hz,0.059906326,-0.0007208147
c01,F3_line_length,0.056211706,-0.0004667663
c01,F2_kurtosis,0.05604368,0.0036510315
c01,PSD_F3_11.1Hz,0.054400254,-0.00063303096
c01,PSD_F6_15.5Hz,0.049221568,0.00085960975
c01,PSD_F6_32.2Hz,0.0408643,0.004574997
c01,PSD_Fz_13.3Hz,0.040825788,0.0040212744
c01,PSD_F3_4.4Hz,0.038289275,0.00064541545
c01,PSD_F3_14.4Hz,0.033825867,0.0046646306
c01,PSD_Fz_33.3Hz,0.030190187,-0.0008776679
c01,Fz_spect_entropy,0.029458463,-0.0011070095
c01,F6_spect_entropy,0.027980337,0.001973801
c01,PSD_F6_2.2Hz,0.027442798,0.0008782498
c01,FCz_line_length,0.026991459,0.00031733458
c01,PSD_FCz_28.9Hz,0.026902523,-0.0046347543
c01,FCz_app_entropy,0.02540616,-0.0019098474
c01,PSD_F6_16.7Hz,0.024949986,-0.0017867399
c01,F2_line_length,0.02297744,-0.0012325869
c01,PSD_F3_23.3Hz,0.022890313,0.0011447765
c01,PSD_F2_8.9Hz,0.02104407,0.0005497785
c01,PSD_Fz_3.3Hz,0.019500077,-0.0011868776
c01,PSD_F4_30.0Hz,0.019018916,0.00017171708
c01,PSD_F6_30.0Hz,0.01899372,-0.00056286994
c01,PSD_F2_10.0Hz,0.01889208,0.0010106271
c01,PSD_F4_5.6Hz,0.01876565,-0.0002449793
c01,PSD_F3_32.2Hz,0.018678544,-0.001396359
c01,PSD_F2_36.7Hz,0.018206362,0.0009741291
c01,PSD_F6_4.4Hz,0.016925491,0.00045082907
c01,PSD_FCz_5.6Hz,0.016848404,0.0011869324
c01,PSD_F2_6.7Hz,0.01682213,-0.0010140575
c01,PSD_FCz_7.8Hz,0.016588492,-0.00023403247
c01,FCz_hjorth_complexity,0.016319348,0.00052332267
c01,PSD_F3_17.8Hz,0.016222266,0.0001452913
c01,PSD_Fz_25.5Hz,0.015973162,-0.001440544
c01,PSD_FCz_35.5Hz,0.015825415,-0.0014916022
c01,PSD_F2_23.3Hz,0.015607415,0.0012381675
c01,PSD_F6_1.1Hz,0.015494773,0.0016580462
c01,PSD_F2_5.6Hz,0.015472125,5.382838e-05
c01,PSD_F3_38.9Hz,0.015264628,0.0007178875
c01,PSD_F6_10.0Hz,0.015152846,0.00210595
c01,F4_spect_entropy,0.015132109,0.00095674046
c01,PSD_FCz_21.1Hz,0.014783815,0.00027186135
c01,PSD_F4_18.9Hz,0.014622367,0.00022437792
c01,PSD_Fz_20.0Hz,0.014257497,0.000263367
c01,PSD_FCz_1.1Hz,0.014114958,-0.00022654294
c01,PSD_FCz_3.3Hz,0.013996757,-0.0035940867
c01,PSD_Fz_30.0Hz,0.013804895,-0.0008036271
c01,PSD_F4_38.9Hz,0.013324548,0.00028337538
c01,PSD_F6_33.3Hz,0.012905389,0.00023905664
c01,PSD_F2_21.1Hz,0.012547255,0.0017317586
c01,PSD_F4_22.2Hz,0.012413478,0.00045821752
c01,F6_hjorth_complexity,0.012361324,0.001446674
c01,PSD_F2_3.3Hz,0.012217341,0.0003393352
c01,PSD_F2_20.0Hz,0.011846463,-0.0006773687
c01,F3_skewness,0.01108797,-0.0016745196
c01,PSD_F2_22.2Hz,0.01077224,0.0004221364
c01,PSD_F2_14.4Hz,0.010351012,0.00033468194
c01,PSD_F2_38.9Hz,0.010261196,-0.0003677856
c01,PSD_F6_12.2Hz,0.010236973,0.0008817621
c01,PSD_F6_14.4Hz,0.009789488,0.00015528443
c01,Fz_hjorth_mobility,0.009138022,-0.00041307035
c01,F6_line_length,0.008872649,-0.00076573587
c01,PSD_F2_2.2Hz,0.008781113,0.0013106546
c01,PSD_F6_36.7Hz,0.008664835,0.00012406496
c01,PSD_F4_14.4Hz,0.008552696,-0.0013086868
c01,PSD_FCz_4.4Hz,0.008539145,-0.00043058215
c01,PSD_FCz_8.9Hz,0.008487901,-0.00018115986
c01,Fz_line_length,0.007897209,-0.0006690963
c01,PSD_F3_37.8Hz,0.007834524,0.0013876032
c01,PSD_Fz_35.5Hz,0.0077317446,0.0007119206
c01,FCz_zero_crossings,0.007639362,-0.0003315596
c01,PSD_F2_12.2Hz,0.007293189,-0.0010655449
c01,PSD_F6_31.1Hz,0.0069457768,0.00026645488
c01,PSD_Fz_4.4Hz,0.006207188,-0.0010310763
c01,PSD_Fz_6.7Hz,0.0060817627,-0.0012030951
c01,PSD_F6_37.8Hz,0.006046947,-0.00021764264
c01,PSD_F4_31.1Hz,0.0057862937,-1.1558667e-05
c01,PSD_Fz_36.7Hz,0.0054783626,-0.0013972634
c01,PSD_F3_10.0Hz,0.0053074276,0.00041886212
c01,PSD_F6_3.3Hz,0.004612196,0.00030968344
c01,PSD_Fz_18.9Hz,0.0044570668,-0.0002925253
c01,PSD_Fz_11.1Hz,0.0,0.0
c01,PSD_Fz_10.0Hz,0.0,0.0
c01,PSD_Fz_8.9Hz,0.0,0.0
c01,PSD_Fz_1.1Hz,0.0,0.0
c01,PSD_Fz_5.6Hz,0.0,0.0
c01,PSD_Fz_2.2Hz,0.0,0.0
c01,PSD_Fz_17.8Hz,0.0,0.0
c01,Fz_svd_entropy,0.0,0.0
c01,F2_svd_entropy,0.0,0.0
c01,FCz_svd_entropy,0.0,0.0
c01,F4_svd_entropy,0.0,0.0
c01,F6_svd_entropy,0.0,0.0
c01,Fz_app_entropy,0.0,0.0
c01,F3_svd_entropy,0.0,0.0
c01,F3_app_entropy,0.0,0.0
c01,F4_app_entropy,0.0,0.0
c01,F6_app_entropy,0.0,0.0
c01,Fz_samp_entropy,0.0,0.0
c01,FCz_samp_entropy,0.0,0.0
c01,PSD_F3_5.6Hz,0.0,0.0
c01,PSD_F3_7.8Hz,0.0,0.0
c01,F2_app_entropy,0.0,0.0
c01,PSD_F3_8.9Hz,0.0,0.0
c01,PSD_F3_12.2Hz,0.0,0.0
c01,PSD_F3_13.3Hz,0.0,0.0
c01,PSD_F3_15.5Hz,0.0,0.0
c01,PSD_F3_16.7Hz,0.0,0.0
c01,PSD_F3_18.9Hz,0.0,0.0
c01,PSD_F3_22.2Hz,0.0,0.0
c01,PSD_F2_30.0Hz,0.0,0.0
c01,PSD_F2_31.1Hz,0.0,0.0
c01,PSD_F2_32.2Hz,0.0,0.0
c01,PSD_F2_33.3Hz,0.0,0.0
c01,PSD_Fz_12.2Hz,0.0,0.0
c01,PSD_Fz_14.4Hz,0.0,0.0
c01,PSD_Fz_15.5Hz,0.0,0.0
