FEATURE,TOP_20_COUNT
FCz_spect_entropy,4
PSD_Fz_25.5Hz,4
F4_hjorth_mobility,3
PSD_Fz_35.5Hz,3
PSD_F6_13.3Hz,3
PSD_FCz_8.9Hz,3
PSD_F6_8.9Hz,3
PSD_F2_37.8Hz,3
PSD_F4_15.5Hz,3
PSD_F3_15.5Hz,3
F6_kurtosis,3
PSD_F2_1.1Hz,2
PSD_F2_15.5Hz,2
PSD_F2_40.0Hz,2
PSD_F2_34.4Hz,2
Fz_samp_entropy,2
PSD_F3_22.2Hz,2
PSD_F3_18.9Hz,2
PSD_F3_16.7Hz,2
F6_hjorth_complexity,2
F4_skewness,2
FCz_hjorth_mobility,2
F6_spect_entropy,2
F2_hjorth_mobility,2
PSD_F4_13.3Hz,2
PSD_F3_6.7Hz,2
PSD_F4_27.8Hz,2
PSD_F6_20.0Hz,2
PSD_F6_38.9Hz,2
PSD_F6_3.3Hz,2
PSD_FCz_31.1Hz,2
PSD_FCz_6.7Hz,2
PSD_Fz_18.9Hz,2
PSD_Fz_38.9Hz,2
PSD_Fz_32.2Hz,2
PSD_Fz_24.4Hz,2
PSD_Fz_27.8Hz,2
PSD_Fz_28.9Hz,2
PSD_Fz_37.8Hz,2
PSD_F3_30.0Hz,2
PSD_F3_37.8Hz,2
PSD_F3_25.5Hz,2
PSD_F2_21.1Hz,2
PSD_F6_15.5Hz,2
PSD_F6_26.7Hz,2
PSD_F6_31.1Hz,2
PSD_F4_16.7Hz,2
PSD_F4_40.0Hz,2
PSD_F4_3.3Hz,2
PSD_FCz_40.0Hz,2
PSD_FCz_37.8Hz,2
PSD_F3_10.0Hz,2
F2_hjorth_complexity,1
F2_kurtosis,1
F2_app_entropy,1
F3_hjorth_complexity,1
F3_line_length,1
F3_spect_entropy,1
F4_hjorth_complexity,1
FCz_svd_entropy,1
FCz_line_length,1
F6_skewness,1
FCz_app_entropy,1
F6_samp_entropy,1
F4_kurtosis,1
F4_spect_entropy,1
F6_hjorth_mobility,1
F4_line_length,1
F2_line_length,1
F2_spect_entropy,1
F2_zero_crossings,1
PSD_F2_18.9Hz,1
PSD_F2_23.3Hz,1
PSD_F2_4.4Hz,1
PSD_F3_14.4Hz,1
PSD_F3_23.3Hz,1
PSD_F3_21.1Hz,1
PSD_F3_20.0Hz,1
PSD_F3_2.2Hz,1
PSD_F3_17.8Hz,1
PSD_F2_38.9Hz,1
PSD_F2_26.7Hz,1
PSD_F2_25.5Hz,1
PSD_F2_32.2Hz,1
PSD_F2_3.3Hz,1
PSD_F2_28.9Hz,1
PSD_F2_27.8Hz,1
Fz_spect_entropy,1
PSD_F2_16.7Hz,1
PSD_F2_17.8Hz,1
Fz_skewness,1
PSD_F4_6.7Hz,1
PSD_F4_5.6Hz,1
PSD_F4_4.4Hz,1
PSD_F4_35.5Hz,1
PSD_F4_30.0Hz,1
PSD_F4_34.4Hz,1
PSD_F4_25.5Hz,1
PSD_F4_26.7Hz,1
PSD_F4_20.0Hz,1
PSD_F4_21.1Hz,1
PSD_F4_24.4Hz,1
PSD_F4_23.3Hz,1
PSD_F4_17.8Hz,1
PSD_F3_4.4Hz,1
PSD_F3_38.9Hz,1
PSD_F4_10.0Hz,1
PSD_F3_24.4Hz,1
PSD_F3_26.7Hz,1
PSD_F3_32.2Hz,1
PSD_F3_8.9Hz,1
PSD_F3_3.3Hz,1
PSD_F3_33.3Hz,1
PSD_F6_36.7Hz,1
PSD_F6_35.5Hz,1
PSD_F6_2.2Hz,1
PSD_F6_17.8Hz,1
PSD_F6_10.0Hz,1
PSD_F6_11.1Hz,1
PSD_F6_22.2Hz,1
PSD_F6_33.3Hz,1
PSD_F4_7.8Hz,1
PSD_F6_1.1Hz,1
PSD_FCz_3.3Hz,1
PSD_FCz_26.7Hz,1
PSD_FCz_25.5Hz,1
PSD_FCz_24.4Hz,1
PSD_FCz_22.2Hz,1
PSD_FCz_20.0Hz,1
PSD_FCz_2.2Hz,1
PSD_FCz_18.9Hz,1
PSD_FCz_16.7Hz,1
PSD_FCz_15.5Hz,1
PSD_FCz_12.2Hz,1
PSD_FCz_1.1Hz,1
PSD_F6_40.0Hz,1
PSD_F6_37.8Hz,1
PSD_FCz_34.4Hz,1
PSD_FCz_32.2Hz,1
PSD_Fz_17.8Hz,1
PSD_Fz_16.7Hz,1
PSD_Fz_13.3Hz,1
PSD_FCz_7.8Hz,1
PSD_FCz_5.6Hz,1
PSD_FCz_33.3Hz,1
PSD_FCz_35.5Hz,1
PSD_FCz_38.9Hz,1
PSD_Fz_33.3Hz,1
PSD_Fz_31.1Hz,1
PSD_Fz_30.0Hz,1
PSD_Fz_34.4Hz,1
PSD_Fz_36.7Hz,1
PSD_Fz_5.6Hz,1
PSD_Fz_6.7Hz,1
PSD_Fz_8.9Hz,1
