FEATURE,WORST_20_COUNT
F4_samp_entropy,9
F2_samp_entropy,8
F3_samp_entropy,8
F3_zero_crossings,7
F6_samp_entropy,7
F6_zero_crossings,7
Fz_zero_crossings,7
PSD_Fz_31.1Hz,6
F4_zero_crossings,6
FCz_zero_crossings,6
PSD_Fz_34.4Hz,6
F3_hjorth_complexity,6
F2_zero_crossings,6
F2_spect_entropy,5
PSD_Fz_21.1Hz,5
PSD_Fz_20.0Hz,5
F6_hjorth_complexity,4
PSD_Fz_35.5Hz,4
Fz_hjorth_complexity,4
F2_hjorth_complexity,4
F3_spect_entropy,4
F4_hjorth_complexity,4
PSD_Fz_32.2Hz,3
PSD_Fz_2.2Hz,3
PSD_Fz_27.8Hz,3
PSD_Fz_4.4Hz,3
PSD_Fz_28.9Hz,3
FCz_spect_entropy,3
FCz_hjorth_complexity,3
F2_app_entropy,2
F4_app_entropy,2
F3_hjorth_mobility,2
F3_app_entropy,2
F2_skewness,2
PSD_Fz_1.1Hz,2
PSD_Fz_18.9Hz,2
PSD_Fz_13.3Hz,2
PSD_Fz_15.5Hz,2
PSD_Fz_10.0Hz,2
PSD_Fz_11.1Hz,2
Fz_samp_entropy,2
Fz_spect_entropy,2
FCz_samp_entropy,2
Fz_app_entropy,2
F6_svd_entropy,2
F4_spect_entropy,2
PSD_Fz_6.7Hz,2
PSD_Fz_7.8Hz,2
PSD_Fz_26.7Hz,2
PSD_Fz_36.7Hz,2
PSD_Fz_33.3Hz,2
PSD_FCz_11.1Hz,1
PSD_FCz_10.0Hz,1
Fz_skewness,1
FCz_skewness,1
F6_app_entropy,1
F4_kurtosis,1
F4_svd_entropy,1
F6_hjorth_mobility,1
F6_skewness,1
F6_spect_entropy,1
FCz_app_entropy,1
PSD_FCz_31.1Hz,1
PSD_FCz_27.8Hz,1
PSD_FCz_14.4Hz,1
PSD_FCz_13.3Hz,1
PSD_FCz_12.2Hz,1
PSD_FCz_7.8Hz,1
PSD_FCz_32.2Hz,1
PSD_FCz_33.3Hz,1
PSD_Fz_23.3Hz,1
PSD_Fz_22.2Hz,1
PSD_Fz_17.8Hz,1
PSD_Fz_12.2Hz,1
PSD_Fz_30.0Hz,1
PSD_Fz_24.4Hz,1
PSD_Fz_5.6Hz,1
PSD_Fz_8.9Hz,1
