FEATURE,MEAN_ABSOLUTE_SHAP
Fz_spect_entropy,0.17820461
PSD_Fz_25.5Hz,0.102865405
F2_spect_entropy,0.09911857
PSD_F2_37.8Hz,0.09820705
F2_kurtosis,0.09485583
PSD_FCz_18.9Hz,0.09216794
PSD_F2_1.1Hz,0.090910085
PSD_Fz_18.9Hz,0.08597391
PSD_FCz_8.9Hz,0.0838592
PSD_F3_30.0Hz,0.07613977
F6_kurtosis,0.07535287
FCz_hjorth_mobility,0.07213435
PSD_Fz_28.9Hz,0.0712285
F4_hjorth_mobility,0.069871806
PSD_F6_3.3Hz,0.06962041
PSD_F3_18.9Hz,0.069131866
F6_hjorth_mobility,0.06768307
PSD_F4_20.0Hz,0.060800806
FCz_spect_entropy,0.059711777
PSD_FCz_34.4Hz,0.05963998
PSD_F3_37.8Hz,0.05949773
F6_skewness,0.05924438
PSD_F4_13.3Hz,0.054781925
PSD_Fz_35.5Hz,0.05399537
F4_skewness,0.05286729
PSD_F6_31.1Hz,0.052786585
FCz_svd_entropy,0.052100126
PSD_FCz_31.1Hz,0.049939696
PSD_F2_34.4Hz,0.04983565
F6_hjorth_complexity,0.04884452
PSD_F4_15.5Hz,0.04733937
PSD_F6_10.0Hz,0.047124073
PSD_Fz_32.2Hz,0.046464626
PSD_F4_16.7Hz,0.046215724
PSD_F4_10.0Hz,0.045711126
PSD_F3_3.3Hz,0.043623175
PSD_F3_25.5Hz,0.043607756
PSD_F2_21.1Hz,0.04343327
PSD_F6_20.0Hz,0.04300425
PSD_F6_15.5Hz,0.04282001
PSD_F4_5.6Hz,0.041379005
PSD_F4_40.0Hz,0.04114671
F4_line_length,0.04081037
PSD_Fz_38.9Hz,0.040694956
PSD_F2_40.0Hz,0.040661484
PSD_F6_13.3Hz,0.04043291
PSD_F3_22.2Hz,0.039963342
PSD_F3_6.7Hz,0.03951601
PSD_F6_26.7Hz,0.039310798
F4_kurtosis,0.037344113
PSD_Fz_33.3Hz,0.03718942
PSD_F2_15.5Hz,0.03710951
PSD_F3_38.9Hz,0.036585793
PSD_F2_27.8Hz,0.03614617
PSD_F4_26.7Hz,0.035868987
PSD_F3_16.7Hz,0.034925815
F3_spect_entropy,0.03481302
PSD_F6_8.9Hz,0.0340883
PSD_F4_27.8Hz,0.033883665
PSD_FCz_3.3Hz,0.033729557
PSD_F6_40.0Hz,0.033084463
PSD_FCz_40.0Hz,0.032593474
PSD_F6_22.2Hz,0.03226688
PSD_FCz_6.7Hz,0.032153413
PSD_F3_20.0Hz,0.032128904
PSD_FCz_37.8Hz,0.032051835
F6_spect_entropy,0.032025717
PSD_F4_17.8Hz,0.031919908
PSD_FCz_22.2Hz,0.031685837
PSD_F6_38.9Hz,0.03160645
PSD_F4_3.3Hz,0.031489372
PSD_Fz_30.0Hz,0.031112956
PSD_Fz_27.8Hz,0.030441158
PSD_F3_10.0Hz,0.030096669
F2_hjorth_mobility,0.029876417
PSD_F3_15.5Hz,0.029439043
PSD_FCz_1.1Hz,0.028991206
PSD_F6_33.3Hz,0.028948909
