PARTICIPANT,FEATURE,MEAN_ABSOLUTE_SHAP,MEAN_SHAP
c05,PSD_Fz_18.9Hz,0.67912364,-0.09916677
c05,PSD_FCz_8.9Hz,0.5476434,-0.03109814
c05,F4_hjorth_mobility,0.46351904,-0.037428107
c05,PSD_F3_18.9Hz,0.40679497,-0.051568918
c05,PSD_FCz_3.3Hz,0.33989072,-0.008708605
c05,F6_kurtosis,0.33968416,-0.023806546
c05,PSD_Fz_28.9Hz,0.2489088,-0.00876661
c05,PSD_F3_17.8Hz,0.18118696,0.0020514922
c05,PSD_Fz_13.3Hz,0.17870668,-0.024938645
c05,PSD_F4_27.8Hz,0.17720701,-0.032978144
c05,PSD_F2_40.0Hz,0.16496417,-0.009645817
c05,PSD_F6_31.1Hz,0.16310301,-0.008876829
c05,PSD_F2_17.8Hz,0.1358808,-0.023212057
c05,PSD_F3_15.5Hz,0.11496321,-0.017374765
c05,PSD_FCz_20.0Hz,0.10550449,0.0062847924
c05,PSD_F2_26.7Hz,0.090530135,-0.001426661
c05,PSD_F3_10.0Hz,0.086284146,-0.013691863
c05,F6_spect_entropy,0.084008925,-0.006848284
c05,PSD_FCz_2.2Hz,0.07246645,-0.006396238
c05,PSD_F6_1.1Hz,0.072157755,-0.0060069077
