PARTICIPANT,FEATURE,MEAN_ABSOLUTE_SHAP,MEAN_SHAP
c06,PSD_Fz_31.1Hz,0.0,0.0
c06,PSD_Fz_28.9Hz,0.0,0.0
c06,PSD_Fz_27.8Hz,0.0,0.0
c06,PSD_Fz_26.7Hz,0.0,0.0
c06,F2_skewness,0.0,0.0
c06,FCz_skewness,0.0,0.0
c06,PSD_Fz_4.4Hz,0.0,0.0
c06,F4_samp_entropy,0.0,0.0
c06,F3_samp_entropy,0.0,0.0
c06,F2_samp_entropy,0.0,0.0
c06,FCz_samp_entropy,0.0,0.0
c06,Fz_samp_entropy,0.0,0.0
c06,F4_app_entropy,0.0,0.0
c06,F3_app_entropy,0.0,0.0
c06,F2_app_entropy,0.0,0.0
c06,Fz_app_entropy,0.0,0.0
c06,F6_svd_entropy,0.0,0.0
c06,PSD_Fz_7.8Hz,0.0,0.0
c06,F6_samp_entropy,0.0,0.0
c06,PSD_Fz_5.6Hz,0.0,0.0
