PARTICIPANT,FEATURE,MEAN_ABSOLUTE_SHAP,MEAN_SHAP
c10,PSD_FCz_18.9Hz,0.97337687,-0.12408085
c10,F6_skewness,0.56880397,-0.023657674
c10,FCz_hjorth_mobility,0.48151314,-0.0038056653
c10,PSD_FCz_31.1Hz,0.4042755,0.0076623503
c10,PSD_F6_22.2Hz,0.2951478,0.015983243
c10,PSD_F2_34.4Hz,0.2859998,-0.02465997
c10,PSD_F2_27.8Hz,0.23798802,0.0025242965
c10,PSD_F4_40.0Hz,0.2029796,-0.024304757
c10,PSD_F3_21.1Hz,0.1880785,-0.0026986126
c10,PSD_Fz_27.8Hz,0.15763415,-0.0029561429
c10,F2_line_length,0.13960412,-0.0038758619
c10,PSD_F6_15.5Hz,0.13960405,-0.012078951
c10,PSD_F4_13.3Hz,0.11511989,-0.0031941878
c10,PSD_F6_8.9Hz,0.10073483,-0.01515933
c10,F2_zero_crossings,0.09467495,-0.020138783
c10,PSD_F6_36.7Hz,0.09208639,-0.013482428
c10,PSD_F6_38.9Hz,0.08657591,-0.002585466
c10,FCz_spect_entropy,0.07646533,-0.009893905
c10,PSD_F6_20.0Hz,0.05877722,0.004130541
c10,PSD_Fz_35.5Hz,0.053883605,-0.0050495514
c10,FCz_line_length,0.05294035,0.0045315363
c10,PSD_Fz_28.9Hz,0.05044459,-0.0010925193
c10,PSD_FCz_2.2Hz,0.04753883,-0.0051693385
c10,PSD_F4_27.8Hz,0.04700513,0.0033811864
c10,F6_line_length,0.04600289,0.0018799998
c10,PSD_F2_13.3Hz,0.03835917,-0.0049607586
c10,PSD_F6_7.8Hz,0.031289443,-0.007090972
c10,PSD_FCz_40.0Hz,0.030472089,-0.0038673133
c10,PSD_FCz_37.8Hz,0.029527308,-0.009831975
c10,PSD_F6_6.7Hz,0.028558856,-0.00019739829
c10,F3_line_length,0.023580529,0.003028117
c10,PSD_F3_31.1Hz,0.023123126,0.0016170745
c10,PSD_FCz_23.3Hz,0.02165929,-0.00045633895
c10,F2_hjorth_complexity,0.021391025,-0.00020650437
c10,PSD_F2_21.1Hz,0.020868765,0.0012950276
c10,PSD_F4_6.7Hz,0.020102505,-0.0002030755
c10,PSD_F4_38.9Hz,0.017896457,-2.2928274e-05
c10,PSD_F6_11.1Hz,0.017763363,-0.0028301037
c10,Fz_hjorth_mobility,0.017424567,-3.650675e-05
c10,PSD_Fz_13.3Hz,0.016988222,-0.0018583605
c10,Fz_spect_entropy,0.016357698,-0.0024685878
c10,FCz_samp_entropy,0.015858993,0.00026146774
c10,PSD_F3_18.9Hz,0.014915204,-0.00041128986
c10,PSD_F2_38.9Hz,0.014615817,0.001214063
c10,PSD_Fz_26.7Hz,0.014273703,-0.0017333073
c10,PSD_F4_34.4Hz,0.013995007,0.0012489747
c10,PSD_F6_12.2Hz,0.013857272,-0.00021886332
c10,PSD_F3_4.4Hz,0.013659682,-0.0016030316
c10,PSD_Fz_4.4Hz,0.013589638,-0.000933285
c10,PSD_FCz_6.7Hz,0.013547113,-0.0020841942
c10,PSD_F2_25.5Hz,0.013376296,-0.00040287993
c10,PSD_Fz_5.6Hz,0.013358041,-0.0009481524
c10,PSD_Fz_22.2Hz,0.013109544,0.00086831645
c10,PSD_F6_26.7Hz,0.0124020185,0.0007489312
c10,PSD_F3_1.1Hz,0.0123278145,-0.00081269443
c10,PSD_FCz_35.5Hz,0.011613922,-0.0005884417
c10,Fz_hjorth_complexity,0.011418171,0.00045296253
c10,PSD_F2_1.1Hz,0.011294142,0.0008212368
c10,PSD_FCz_21.1Hz,0.010991242,0.0018680281
c10,F6_spect_entropy,0.010807794,0.00022977022
c10,F3_kurtosis,0.010291987,-0.00032091804
c10,PSD_F3_13.3Hz,0.0101304995,-0.0023788444
c10,PSD_Fz_25.5Hz,0.009508062,-0.0025231026
c10,PSD_F4_33.3Hz,0.009203737,0.00021207581
c10,PSD_F6_17.8Hz,0.009021749,-0.00074296567
c10,PSD_Fz_7.8Hz,0.008786902,0.0028578888
c10,PSD_F4_11.1Hz,0.007991153,-0.000105316234
c10,PSD_FCz_24.4Hz,0.007781363,0.0013148998
c10,F2_svd_entropy,0.0,0.0
c10,F3_svd_entropy,0.0,0.0
c10,F6_svd_entropy,0.0,0.0
c10,F4_svd_entropy,0.0,0.0
c10,FCz_app_entropy,0.0,0.0
c10,F2_app_entropy,0.0,0.0
c10,F3_app_entropy,0.0,0.0
c10,PSD_Fz_3.3Hz,0.0,0.0
c10,PSD_Fz_14.4Hz,0.0,0.0
c10,PSD_Fz_15.5Hz,0.0,0.0
c10,PSD_Fz_1.1Hz,0.0,0.0
c10,PSD_Fz_2.2Hz,0.0,0.0
c10,PSD_Fz_10.0Hz,0.0,0.0
c10,PSD_Fz_11.1Hz,0.0,0.0
c10,PSD_Fz_12.2Hz,0.0,0.0
c10,PSD_Fz_6.7Hz,0.0,0.0
c10,PSD_FCz_38.9Hz,0.0,0.0
c10,PSD_FCz_36.7Hz,0.0,0.0
c10,PSD_FCz_34.4Hz,0.0,0.0
c10,PSD_FCz_33.3Hz,0.0,0.0
c10,Fz_samp_entropy,0.0,0.0
c10,PSD_FCz_32.2Hz,0.0,0.0
c10,PSD_F2_5.6Hz,0.0,0.0
c10,PSD_F2_2.2Hz,0.0,0.0
c10,PSD_F2_10.0Hz,0.0,0.0
c10,PSD_F2_11.1Hz,0.0,0.0
c10,PSD_F2_12.2Hz,0.0,0.0
c10,PSD_F2_14.4Hz,0.0,0.0
c10,PSD_F2_15.5Hz,0.0,0.0
c10,PSD_F2_6.7Hz,0.0,0.0
c10,PSD_F2_3.3Hz,0.0,0.0
c10,PSD_F2_4.4Hz,0.0,0.0
c10,PSD_F2_18.9Hz,0.0,0.0
c10,PSD_F2_17.8Hz,0.0,0.0
c10,PSD_F2_23.3Hz,0.0,0.0
c10,PSD_F2_20.0Hz,0.0,0.0
c10,PSD_F2_24.4Hz,0.0,0.0
c10,PSD_F2_26.7Hz,0.0,0.0
c10,PSD_F2_28.9Hz,0.0,0.0
c10,PSD_F2_22.2Hz,0.0,0.0
c10,PSD_F2_30.0Hz,0.0,0.0
c10,PSD_F2_31.1Hz,0.0,0.0
c10,PSD_F2_33.3Hz,0.0,0.0
c10,PSD_F2_32.2Hz,0.0,0.0
c10,PSD_F2_35.5Hz,0.0,0.0
c10,PSD_F2_16.7Hz,0.0,0.0
c10,PSD_F2_7.8Hz,0.0,0.0
c10,PSD_F2_8.9Hz,0.0,0.0
c10,PSD_F2_40.0Hz,0.0,0.0
c10,PSD_F2_37.8Hz,0.0,0.0
c10,PSD_F2_36.7Hz,0.0,0.0
c10,PSD_F3_2.2Hz,0.0,0.0
c10,PSD_F3_7.8Hz,0.0,0.0
c10,PSD_F3_8.9Hz,0.0,0.0
c10,PSD_F3_5.6Hz,0.0,0.0
c10,PSD_F3_3.3Hz,0.0,0.0
c10,PSD_F3_11.1Hz,0.0,0.0
c10,PSD_F3_12.2Hz,0.0,0.0
c10,PSD_F3_14.4Hz,0.0,0.0
c10,PSD_F3_15.5Hz,0.0,0.0
c10,PSD_F3_16.7Hz,0.0,0.0
c10,PSD_F3_17.8Hz,0.0,0.0
c10,PSD_F3_10.0Hz,0.0,0.0
c10,PSD_F3_6.7Hz,0.0,0.0
c10,PSD_F3_22.2Hz,0.0,0.0
c10,PSD_F3_20.0Hz,0.0,0.0
c10,PSD_FCz_14.4Hz,0.0,0.0
c10,PSD_FCz_15.5Hz,0.0,0.0
c10,PSD_FCz_17.8Hz,0.0,0.0
